Job Title,Company,Minimum Qualification,Skills Required,Location,Years of Experience,Date Posted,Department,Summary
Careers at Embu County Government,Embu County Government,,,,Have at least ten years relevant professional experience in a leadership position or at a top management level in the Public Service or Private Sector,,Other, Duties and Responsibilities: Chairing meetings of the Board of County Public Service . Provide strategic leadership and policy direction for the Board . Establishablishing and abolishing offices in the county Public Service; Exercise disciplinary control over and remove persons holding or acting in these positions; Promote values and principles spelt out in Articles 10 and 232 of the Constitution of Kenya .
Head of Strategic Litigation at MAL Consultancy Limited,MAL Consultancy,,EDUCATION COMPETENCIES & SKILLS REQUIRED,,"Our client is seeking to onboard a Head of Strategic Litigation (HSL). The Head of Strategic Litigation will be a visionary and results-driven Head of Strategic Litigation to lead and grow our Strategic Litigation Unit into a regional center of legal excellence. The ideal candidate will bring at least 10 years’ post-admission experience and a proven track record in strategic litigation at all levels of Kenya’s judiciary—including the High Court, Court of Appeal, and Supreme Court. The candidate will also contribute to the unit’s fundraising efforts, strengthen its operational capacity, and embed strategic litigation as a core lever for systemic change in health-related human rights. The successful candidate will play a pivotal role in shaping precedent-setting jurisprudence and influencing health and human rights policy at national and regional levels.",,Other, Head of Strategic Litigation will be visionary and results-driven . Ideal candidate will bring at least 10 years’ post-admission experience and a proven track record .
Telesales (Night Shift) at Teleperformance,Teleperformance,,Use persuasion skills to sell products and services to potential and existing customers,,"Minimum of 1 year of experience as a Telesales agent, BPO background and/or other sales/customer service role",,Marketing," As a Telesales Agent you will be responsible for contacting potential and existing customers over the phone to promote and sell the client's services . You will be able to generate leads and close sales by actively listening to customer needs, presenting services, addressing concerns and negotiating deals ."
Assistant Internal Auditor at AIC Kijabe Hospital,AIC Kijabe Hospital,Qualifications and skills,Qualifications and skills,,Atleast three (3) years of experience in internal audit,,IT," Bachelor's degree in Accounting, Finance and Banking, Financial management or Business administration . Atleast three (3) years of experience in internal audit . Must be a CPA (K) holder ."
Quality Officer – AMO at 748 Air Services (K) Ltd,748 Air Services (K) Ltd,,Excellent communication and interpersonal skills.,,Education and Experience,,IT, The Quality Officer ensures that operational standards for the fleet and maintenance practices align with approved procedures and regulatory requirements . He is responsible for the operational standards of Seven Four Eight Air Services (K) Limited's fleet .
Channel Support Manager – ATM /CDM at Equity Bank Kenya,Equity Bank Kenya,,,,"An Assistant Channels Support Manager – POS Merchants role typically involves overseeing the delivery of support services to POS merchants’ stakeholders and channel partners. This role ensures seamless merchant experience by managing escalations, optimising operational processes, and coordinating closely with internal teams to uphold service excellence, channel stability, optimisation and efficiency.",,Other," An Assistant Channels Support Manager – POS Merchants role typically involves overseeing the delivery of support services to POS merchants and channel partners . This role ensures seamless merchant experience by managing escalations, optimising processes and coordinating closely with internal teams ."
Grants Manager at Norwegian Refugee Council,Norwegian Refugee Council,,"Identify gaps in quality and practice, and common development needs in relation to PCM and grants management within CO’s and the project portfolio and work collaboratively with colleagues in the Grants Mngt function to develop learning initiatives to build skills and capacity.",,"Minimum 4 years of experience of donor relations and grants management within a relevant context (e.g., with institutional humanitarian and development donors).",,Other," Job Description: Join NRC as a Grants Manager (East & Southern Africa + focus) You'll take the lead in managing multi-country, regional, and high-risk/high-value grants, ensuring full compliance with donor and internal requirements ."
Quantitative Field Interviewers - Promote II Project at Flexi-Personnel,Flexi-Personnel,Minimum qualifications,,,Experience in working within informal settlements like Korogocho and Viwandani.,,Other, Duties and Responsibilities: Attend and fulfil all ethical obligations and training requirements . Perform pilot survey in an unaffiliated informal setting . Deploy for household listing and entity generation .Administer baseline questionnaire to parenting adolescent girls .
Jobs at Summit Recruitment and Search,Summit Recruitment and Search,Qualifications/Key skills,Qualifications/Key skills,,At least 3 years of experience in a 5 Star Lodge or Tented camp,,Other," At least 3 years of experience in a 5 Star Lodge or Tented camp . Key Responsibilities: Assist Camp Manager with the day to day running of the camp and ensure all operational areas are functioning. Maintain effective communication, at all times, with the team."
Consultancy - Baseline Survey on Cyber Crimes in East Africa at International Development Law Organization (IDLO),International Development Law Organization (IDLO),,,,Work Experience,,IT," The task is to conduct an assessment of the scope, nature, prevalence, types, actors of cybercrimes in East Africa . The report will be presented to a stakeholders’ forum and consider the feedback from the stakeholders ."
"Lead, EdTech Ecosystem, CITL at Mastercard Foundation",Mastercard Foundation,,Represent the Foundation at high-level regional education and skills development and technology forums.,,"Bachelor’s or Master’s degree in education, Technology, or related fields; or equivalence professional experience.",,Other, Centre for Innovative Teaching & Learning (CITL) strategy development and evolution . Contribute to ongoing CITL strategy development . Support and guidance to Tech Hubs and EdTech Fellows (current and alumni)
Audit Transformation & Change - Assistant Manager (Africa) at Deloitte Consulting,Deloitte Consulting,Qualifications,,,Minimum 3 years articles working experience,,Administration," Transformation & Change operates in:Digital Sensing and Certification, Digital Sensing, Knowledge Management, Audit Delivery Centers, Technology Enablement and Learning. The role is to develop high-performing people and teams ."
Pre-Sales Lead at Burhani Engineers Ltd,Burhani Engineers Ltd,Support opportunity qualification and bid/no-bid decision-making to focus efforts on high-potential tenders.,Excellent writing and document control skills,,Qualifications and Experience Requirements,,IT, Job Description: Manage and Improve Lead Follow-up in Zoho CRM . Oversee the timely and effective follow-up of marketing-generated leads . Track and Report Sales Pipeline across Business Units . Coordinate end-to-end preparation and submission of government bids .
General Manager- In-Market Operations at Jumo World,Jumo World,,Strong key stakeholder engagement skills across all levels.,,"10 - 15 years of experience as a senior leader in Digital Finance, across both Operations and Relationship management.",,Other, You will manage and grow the business in line with the JUMO Growth and New Markets (GNM) strategy . You will be based in Africa and will report to the Chief: Payments Partnerships .
Current Openings at Britam,Britam,"Knowledge, experience and qualifications required",Excellent interpersonal and communication skills.,,"Knowledge, experience and qualifications required",,Other," Work hand in hand with FA Operations team in the implementing of all FA benefits schemes, e.g. Medical, Group Life, GPA, pension, ESOP, club membership, staff loans etc."
Vacancies at County Government of Bomet,County Government of Bomet,,,,"Have knowledge, experience and distinguished career of not less than 10years, five of which in a senior management position.",,Other," The Chief Officer shall be the Accounting and Authorized Officer in respect of the exerciseof delegated power . He will be responsible to the County Executive Committee Member Administration, Public Service and Special Programs ."
Vacancies at Pundit Space,Pundit Space,,Excellent problem-solving skills with a pragmatic approach to cloud infrastructure automation.,,"interfaces, types, classes, generics.",,Other," You will be responsible for designing, developing, and maintaining . scalable, secure . infrastructure through modern Infrastructure-as-Code (IaC) practices ."
Fresh Jobs at Concern Worldwide,Concern Worldwide,,Strong written and oral communication skills,,,,Other," Plan, prepare and oversee the implementation of components of the Water, Sanitation and Hygiene activities related to Hygiene Promotion in consultation with the Officer WASH, ensuring quality programming ."
IT Specialist at Teleperformance,Teleperformance,Educational Qualifications & Professional Qualifications,Strong organizational skills and attention to detail.,,Experience in desktop support role,,Other," Worked with Help Desk and Operations staff as a level 2 resource to determine and resolve problems received from clients . Interacts with numerous computer platforms in a multi-layered, client server environment ."
